Penn Badgley,"Penn Dayton BadgleyNovember 1, 1986 (age 32)Baltimore, Maryland, U.S.",m,Domino Kirke (m. 2017)
Max Baer Jr.,"Maximilian Adalbert Baer Jr.December 4, 1937 (age 81)Oakland, California, U.S.",m,Joanne Kathleen Hill(m. 1966; div. 1971)
Parley Baer,"Parley Edward BaerAugust 5, 1914Salt Lake City, Utah, U.S.",m,Ernestine Clarke(m. 1946; her death 2000)
Ross Bagdasarian,"Rostom Sipan BagdasarianJanuary 27, 1919Fresno, California, U.S.",m,Armenuhi (née Kulhanjian) Bagdasarian
King Baggot,"William King BaggotNovember 7, 1879St. Louis, Missouri, U.S.",m,Ruth Constantine (1912–1930) (divorce)
G. W. Bailey,"George William BaileyAugust 27, 1944 (age 74)Port Arthur, Texas, U.S.",m,Eleanor Jane Goosby(m. 1966; div. 1999)
Raymond Bailey,"Raymond Thomas BaileyMay 6, 1904San Francisco, California, U.S.",m,Gaby Aida George
Scott Baio,"Scott Vincent James BaioSeptember 22, 1960 or 1961 (sources differ)Bensonhurst, Brooklyn, New York, U.S.",m,Renée Sloan-Baio (m. 2007)
Jon Robin Baitz,"November 4, 1961 (age 57)Los Angeles, California, U.S.",m,Leon Avelino (m. 2015)
Richard Bakalyan,"January 29, 1931Watertown, Massachusetts, U.S.",m,Betty Lee Bauman (1952–1967) (her death)[1]
Art Baker,"Arthur ShankJanuary 7, 1898New York City, New York, USA",m,Marian Hill (m. 1920-late 1920s; divorced) Maida Sarah Waters(m. 1930; div. 1945) Alice Weaver(m. 1948; div. 1956) Gerri Larsen(m. 1957; his death 1966)
Dee Bradley Baker,"August 31, 1962 (age 56)Bloomington, Indiana, U.S.",m,Michelle Baker (m. 1990)
Dylan Baker,"October 7, 1959 (age 59)Syracuse, New York, U.S.",m,Becky Ann Baker (m. 1990)
Jim B. Baker,"July 12, 1941Great Falls, Montana, U.S.",m,Mary Eichholz (m. 1974–2014)
Joe Don Baker,"February 12, 1936 (age 82)Groesbeck, Texas, U.S.",m,Marlo Baker (1969–1980)
