Sam Harris,"Samuel Kent HarrisJune 4, 1961 (age 57)Sand Springs, Oklahoma, United States",Danny Jacobsen (m. 2008)
Melissa Joan Hart,"April 18, 1976 (age 42)Smithtown, New York, U.S.",Mark Wilkerson (m. 2003)
Anne Hathaway,"Anne Jacqueline HathawayNovember 12, 1982 (age 36)New York City, U.S.",Adam Shulman (m. 2012)
Sean Hayes,"Sean Patrick HayesJune 26, 1970 (age 48)Chicago, Illinois, U.S.[1]",Scott Icenogle (m. 2014)
Christy Hemme,"October 28, 1980 (age 38)[1]Poway, California, United States[1]",Charley Patterson (m. 2010)
Jennifer Love Hewitt,"February 21, 1979 (age 39)Waco, Texas, United States",Brian Hallisay (m. 2013)
Taral Hicks,"September 21, 1974 (age 44)The Bronx, New York, U.S.",Loren Dawson (m. 2001)
Faith Hill,"Audrey Faith PerrySeptember 21, 1967 (age 51)Ridgeland, Mississippi, U.S.",Daniel Hill(m. 1988; div. 1994)Tim McGraw (m. 1996)
Peter Ho,"September 13, 1975 (age 43)Los Angeles, California, United States",Peggy Lin (m. 2016)
Hoku,"Hoku Christian HoJune 10, 1981 (age 37)Oahu, Hawaii, United States",Jeremy Clements (m. 1999)
Mark Hoppus,"Mark Allan HoppusMarch 15, 1972 (age 46)Ridgecrest, California, U.S.",Skye Everly (m. 2000)
Julianne Hough,"Julianne Alexandra HoughJuly 20, 1988 (age 30)Orem, Utah, U.S.",Brooks Laich (m. 2017)
Cissy Houston,"Emily DrinkardSeptember 30, 1933 (age 85)[1][2]Newark, New Jersey, U.S.",Freddie Garland (m. 1955-1957) John Houston Jr. (m. 1959-1990)
Whitney Houston,"Whitney Elizabeth HoustonAugust 9, 1963Newark, New Jersey, U.S.",Bobby Brown(m. 1992; div. 2007)
Miki Howard,"Alicia Michelle HowardSeptember 30, 1960 (age 58)Chicago, Illinois, U.S.",Eddie Phelps(m. 1989; div. 1996)
Howie Dorough,"Howard Dwaine DoroughAugust 22, 1973 (age 45)Orlando, Florida, U.S.",Leigh Boniello (m. 2007)
Autumn Hurlbert,"Autumn Marie HurlbertGreat Falls, Montana",Tim Norman (2011–present)
Ice Cube,"O'Shea JacksonJune 15, 1969 (age 49)Los Angeles, California, U.S.",Kimberly Woodruff (m. 1992)
James Monroe Iglehart,"September 4, 1974 (age 44)Hayward, California",Dawn Iglehart (m. 2002)[2]
Jackie Jackson,"Sigmund Esco JacksonMay 4, 1951 (age 67)Gary, Indiana, U.S.",Enid Adren(m. 1974; div. 1987)[1]Victoria Triggs(m. 2001; div. 2007)Emily Besselink (m. 2012)
Janet Jackson,"Janet Damita Jo JacksonMay 16, 1966 (age 52)Gary, Indiana, U.S.",James DeBarge(m. 1984; ann. 1985)René Elizondo Jr.(m. 1991; div. 2000)Wissam Al Mana(m. 2012; sep. 2017)
Jermaine Jackson,"Jermaine La Jaune JacksonDecember 11, 1954 (age 64)Gary, Indiana, U.S.",Hazel Gordy(m. 1973; div. 1988)Alejandra Oaziaza(m. 1995; div. 2003)Halima Rashid(m. 2004; div. 2016)
La Toya Jackson,"La Toya Yvone JacksonMay 29, 1956 (age 62)Gary, Indiana, U.S.",Jack Gordon(m. 1989; div. 1997)[1][2]
Marlon Jackson,"Marlon David JacksonMarch 12, 1957 (age 61)Gary, Indiana, U.S.",Carol Parker (m. 1975)
Michael Jackson,"Michael Joseph Jackson[1][2]August 29, 1958Gary, Indiana, U.S.",Lisa Marie Presley(m. 1994; div. 1996)Debbie Rowe(m. 1996; div. 1999)
Randy Jackson,"Steven Randall JacksonOctober 29, 1961 (age 57)Gary, Indiana, U.S.",Eliza Shaffy(m. 1989; div. 1992)[1]
Rebbie Jackson,"Maureen Reillette JacksonMay 29, 1950 (age 68)Gary, Indiana, U.S.",Nathaniel Brown(m. 1968; died 2013)[1]
Tito Jackson,"Toriano Adaryll JacksonOctober 15, 1953 (age 65)Gary, Indiana, U.S.",Delores Martes(m. 1972; div. 1988)
Bryton James,"Bryton Eric McClureAugust 17, 1986 (age 32)[1]Lakewood, California, U.S.[1]",Ashley Leisinger(m. 2011; div. 2014)
Mickie James,"August 31, 1979 (age 39)Richmond, Virginia, United States",Nick Aldis (m. 2015)
Erika Girardi,"Erika Nay ChahoyJuly 10, 1971 (age 47)Atlanta, Georgia, U.S.",Thomas Zizzo  Thomas Girardi (m. 1999)
Blake Jenner,"Blake Alexander JennerAugust 27, 1992 (age 26)Miami, Florida, U.S.",Melissa Benoist (m. 2013 or 2015;[a] div. 2017)
Mason Jennings,"March 19, 1975 (age 43)Honolulu, Hawaii",Amy Turany(m. 2002; div. 2018)Josie Jennings (m. 2018)
Chris Jericho,"November 9, 1970 (age 48)Manhasset, New York, United States",Jessica Lockhart (m. 2000)
Jewel,"Jewel KilcherMay 23, 1974 (age 44)Payson, Utah, U.S.",Ty Murray(m. 2008; div. 2014)
Amy Jo Johnson,"October 6, 1970 (age 48)Hyannis, Massachusetts, U.S.",Olivier Giner (m. 2009)
Brian Johnson,"Brian Mark JohnsonMarch 17, 1978 (age 40)[1]Redding, California, U.S.",Jenn Johnson (m. 2000)
Jack Johnson,"Jack Hody JohnsonMay 18, 1975 (age 43)North Shore, Oahu, Hawaii, U.S.",Kim Johnson (m. 2000)
Kevin Jonas,"Paul Kevin Jonas IINovember 5, 1987 (age 31)Teaneck, New Jersey, U.S",Danielle Deleasa (m. 2009)
Nick Jonas,"Nicholas Jerry JonasSeptember 16, 1992 (age 26)Dallas, Texas, U.S.",Priyanka Chopra (m. 2018)
Shirley Jones,"Shirley Mae JonesMarch 31, 1934 (age 84)Charleroi, Pennsylvania, U.S.",Jack Cassidy(m. 1956; div. 1974)Marty Ingels(m. 1977; died 2015)
Jeremy Jordan,"Jeremy Michael JordanNovember 20, 1984 (age 34)Corpus Christi, Texas, U.S.",Ashley Spencer (m. 2012)
Milla Jovovich,"Milica Bogdanovna JovovichDecember 17, 1975 (age 43)Kiev, Ukrainian SSR, Soviet Union",Shawn Andrews(m. 1992; annulled 1992)Luc Besson(m. 1997; div. 1999)Paul W. S. Anderson (m. 2009)
Maria Kanellis,"February 25, 1982 (age 36)[1]Ottawa, Illinois,United States[2][3]",Mike Kanellis (m. 2014)
Tamar Kaprelian,"Tamar MardirossianOctober 28, 1986 (age 32)Scottsdale, Arizona, U.S.",Chris Stang (m. 2016)
Lainie Kazan,"Lainie LevineMay 15, 1940 (age 78)Brooklyn, New York, U.S.",Peter H.B. Daniels (m. 1971; d. 1989)
Josh Keaton,"Joshua Luis WienerFebruary 8, 1979 (age 39)Hacienda Heights, California, U.S.",Elizabeth Melendez
Lauren Kennedy,"September 3, 1973 (age 45)[1]Raleigh, North Carolina, U.S.",Alan Campbell(m. 1999; div. 2013)Charlie Brady (m. 2016)
Kerri Kenney-Silver,"Kerri KenneyJanuary 20, 1970 (age 48)Westport, Connecticut, U.S.",Steven V. Silver (m. 2004)
Alicia Keys,"Alicia Augello CookJanuary 25, 1981 (age 37)New York City, U.S.",Swizz Beatz (m. 2010)
Rachna Khatau,"29 January 1981 (age 37)London, England, U.K.",Matt Black (m. 2012)
Yunjin Kim,"Kim Yun-JinNovember 7, 1973 (age 45)Seoul, South Korea",Jeong Park (m. 2010)
Candice King,"Candice Rene AccolaMay 13, 1987 (age 31)Houston, Texas, U.S.",Joe King (m. 2014)
